"name"	"ID"	"CntrStat_vs_Cntr_p.val"	"Farn_vs_Cntr_p.val"	"Farn_vs_CntrStat_p.val"	"Farn_vs_Gera_p.val"	"Farn_vs_GeraStat_p.val"	"FarnStat_vs_Cntr_p.val"	"FarnStat_vs_CntrStat_p.val"	"FarnStat_vs_Farn_p.val"	"FarnStat_vs_Gera_p.val"	"FarnStat_vs_GeraStat_p.val"	"Gera_vs_Cntr_p.val"	"Gera_vs_CntrStat_p.val"	"GeraStat_vs_Cntr_p.val"	"GeraStat_vs_CntrStat_p.val"	"GeraStat_vs_Gera_p.val"	"CntrStat_vs_Cntr_p.adj"	"Farn_vs_Cntr_p.adj"	"Farn_vs_CntrStat_p.adj"	"Farn_vs_Gera_p.adj"	"Farn_vs_GeraStat_p.adj"	"FarnStat_vs_Cntr_p.adj"	"FarnStat_vs_CntrStat_p.adj"	"FarnStat_vs_Farn_p.adj"	"FarnStat_vs_Gera_p.adj"	"FarnStat_vs_GeraStat_p.adj"	"Gera_vs_Cntr_p.adj"	"Gera_vs_CntrStat_p.adj"	"GeraStat_vs_Cntr_p.adj"	"GeraStat_vs_CntrStat_p.adj"	"GeraStat_vs_Gera_p.adj"	"CntrStat_vs_Cntr_significant"	"Farn_vs_Cntr_significant"	"Farn_vs_CntrStat_significant"	"Farn_vs_Gera_significant"	"Farn_vs_GeraStat_significant"	"FarnStat_vs_Cntr_significant"	"FarnStat_vs_CntrStat_significant"	"FarnStat_vs_Farn_significant"	"FarnStat_vs_Gera_significant"	"FarnStat_vs_GeraStat_significant"	"Gera_vs_Cntr_significant"	"Gera_vs_CntrStat_significant"	"GeraStat_vs_Cntr_significant"	"GeraStat_vs_CntrStat_significant"	"GeraStat_vs_Gera_significant"	"significant"	"CntrStat_vs_Cntr_ratio"	"Farn_vs_Cntr_ratio"	"Farn_vs_CntrStat_ratio"	"Farn_vs_Gera_ratio"	"Farn_vs_GeraStat_ratio"	"FarnStat_vs_Cntr_ratio"	"FarnStat_vs_CntrStat_ratio"	"FarnStat_vs_Farn_ratio"	"FarnStat_vs_Gera_ratio"	"FarnStat_vs_GeraStat_ratio"	"Gera_vs_Cntr_ratio"	"Gera_vs_CntrStat_ratio"	"GeraStat_vs_Cntr_ratio"	"GeraStat_vs_CntrStat_ratio"	"GeraStat_vs_Gera_ratio"	"Cntr_centered"	"CntrStat_centered"	"Farn_centered"	"FarnStat_centered"	"Gera_centered"	"GeraStat_centered"
"ALDH16A1"	"Q8IZ83"	0.596429573792051	2.95116133834009e-08	8.39287404447529e-09	0.0280664353776738	0.0733477492986823	3.66152315498145e-09	1.10984287623416e-09	0.376893699026872	0.165496883039307	0.342506551668513	1.65922391083005e-10	5.54726842705953e-11	4.37120415006441e-10	1.41702942738163e-10	0.649357814825939	0.928	0.0371	0.000975	0.905	0.921	0.0864	0.00215	0.783	0.901	0.941	0.688	0.562	0.74	0.635	0.836	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	-0.146	2.12	2.27	-0.635	-0.51	2.37	2.51	0.246	-0.39	-0.264	2.76	2.9	2.63	2.78	-0.126	-1.62	-1.77	0.5	0.746	1.14	1.01
"ALDH1B1"	"P30837"	0.681708985939134	1.29587898827845e-15	7.24623375468588e-16	4.40520175489919e-07	3.06782475858499e-08	3.42536171171583e-15	1.87770588745606e-15	0.50561471675203	2.4667966353079e-06	1.57755599239757e-07	1.11271588818116e-10	4.79958005991561e-11	1.11665190392236e-09	4.54992677116859e-10	0.28698828741257	0.935	4.33e-09	5.93e-15	0.719	0.677	1.44e-05	2.47e-10	0.824	0.676	0.74	0.677	0.556	0.759	0.671	0.737	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	-0.146	5.99	6.13	2.35	2.74	5.75	5.9	-0.238	2.12	2.5	3.63	3.78	3.25	3.4	-0.384	-3.08	-3.23	2.91	2.67	0.554	0.171
"ALDH9A1"	"P49189"	0.845399567573219	1.82272903460737e-19	2.23408906440101e-19	4.00703105283425e-15	2.12075530659019e-16	3.32301320030469e-18	4.16696294815906e-18	0.0127112043941114	2.75948600104241e-13	9.44843615704024e-15	1.20858945981252e-08	1.91756621375073e-08	2.1372563584895e-06	3.55855550866862e-06	0.0453821545194866	0.946	1.17e-14	5.93e-15	0.0133	0.00597	1.52e-09	7.51e-15	0.164	0.0247	0.0283	0.781	0.735	0.861	0.838	0.414	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0321	3.96	3.93	2.64	2.98	3.53	3.5	-0.436	2.2	2.54	1.33	1.3	0.985	0.953	-0.342	-1.64	-1.61	2.32	1.89	-0.312	-0.654
"ALG3"	"Q92685"	0.46256942645377	1.54809277531525e-14	5.00989663674859e-15	2.12651132727666e-09	1.5998664724946e-06	4.91102910496871e-14	1.5200384438662e-14	0.469643776091134	4.28922890035284e-10	2.49705000410201e-07	2.09468293464311e-19	9.7885981943212e-20	4.23165708947062e-18	1.81292239734455e-18	0.0106498949256592	0.911	1.81e-07	6.01e-13	0.502	0.788	0.00016	9.69e-09	0.814	0.253	0.754	0.0155	0.00326	0.0515	0.0155	0.227	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	-0.146	3	3.15	-1.75	-1.21	2.86	3	-0.144	-1.89	-1.35	4.75	4.9	4.21	4.36	-0.54	-2.45	-2.59	0.555	0.411	2.31	1.77
"ALG8"	"Q9BVK2"	0.582578805163519	3.54104017763766e-11	1.19548005912875e-11	9.6274770235464e-08	6.99352891276499e-06	2.02030779978142e-10	6.4405442989877e-11	0.400125737378613	1.24799045992934e-08	7.6874863124993e-07	2.55400201638661e-16	1.22516986954242e-16	2.68577307873881e-15	1.2102761894779e-15	0.103202778653459	0.926	0.000624	9.14e-07	0.669	0.817	0.0274	0.000236	0.792	0.436	0.783	0.132	0.0495	0.269	0.13	0.569	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	-0.146	2.86	3	-1.92	-1.47	2.63	2.78	-0.225	-2.14	-1.7	4.77	4.92	4.33	4.48	-0.444	-2.41	-2.55	0.45	0.225	2.37	1.92
"AMFR"	"Q9UKV5"	0.55573443003963	1.03980396195419e-09	2.8838298703276e-10	4.31457543625919e-09	1.22836776279884e-07	6.84238223293366e-11	2.08925533753912e-11	0.207345483427244	9.08480282092388e-08	3.23249159290407e-06	3.85164660040167e-16	1.73333172041816e-16	2.81604673842042e-15	1.19711624935985e-15	0.168538000715577	0.924	0.00662	4.14e-05	0.538	0.722	0.0168	8.47e-05	0.681	0.538	0.814	0.147	0.0558	0.272	0.13	0.655	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	-0.146	2.27	2.41	-2.11	-1.76	2.58	2.73	0.317	-1.79	-1.44	4.38	4.52	4.03	4.17	-0.347	-2.18	-2.33	0.0816	0.399	2.19	1.84
"ANKZF1"	"Q9H8Y5"	0.334746900031455	7.24406025055284e-21	2.99381180940945e-21	2.11381958404765e-07	7.47695425162821e-05	3.11719485754037e-21	1.32327185550467e-21	0.357277850121852	2.27333475886904e-06	0.000874955272286521	2.39781413538269e-23	1.17151698414247e-23	1.35284923254921e-22	6.30439491887339e-23	0.0318360330586021	0.885	1.17e-14	5.93e-15	0.696	0.854	1.77e-14	7.51e-15	0.775	0.673	0.894	0.000122	5.33e-06	0.000664	4.82e-05	0.358	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.146	4.12	4.27	-1.04	-0.699	4.26	4.41	0.14	-0.898	-0.56	5.16	5.3	4.82	4.97	-0.338	-3.04	-3.18	1.09	1.22	2.12	1.78
"APOC3"	"P02656"	0.000297389652089519	1.01579819992314e-13	2.3597941312369e-10	2.60407695403603e-10	1.63487410438834e-09	1.13583039427482e-15	8.06289524541419e-13	0.00657876631765742	2.29645722782403e-07	1.98347246294914e-06	2.61062796396386e-19	2.97542758409122e-17	6.43603131917544e-19	8.71223611515016e-17	0.40255689003764	0.0202	2.03e-06	3.33e-05	0.389	0.556	4.63e-06	2.57e-06	0.107	0.581	0.804	0.0168	0.0294	0.0303	0.0587	0.782	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	0.675	2.28	1.61	-1.6	-1.46	2.76	2.09	0.478	-1.12	-0.984	3.88	3.21	3.74	3.07	-0.138	-2.22	-1.55	0.0583	0.536	1.66	1.52
"ARL6IP1"	"Q15041"	0.268133094020141	4.04089093385492e-08	6.59518027517232e-07	5.90071287154808e-14	1.81420273661235e-15	6.48873661011727e-10	8.12195227549966e-09	0.0812923436990161	1.28464422110552e-12	2.7600282814981e-14	2.06195794751828e-18	7.5888231279872e-18	1.75815365248357e-19	5.77226670835422e-19	0.0303439265211913	0.864	0.0428	0.0188	0.0438	0.0169	0.0445	0.00762	0.476	0.0465	0.0447	0.0325	0.0186	0.0196	0.0101	0.351	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	0.19	1.29	1.1	-2.43	-2.82	1.59	1.4	0.305	-2.12	-2.51	3.72	3.53	4.1	3.91	0.386	-1.81	-1.62	-0.528	-0.223	1.9	2.29
"ARL6IP5"	"O75915"	1.95271441453824e-05	1.6093072162297e-14	1.81732460013877e-10	9.34742743722142e-17	9.59000282838462e-17	1.34347454632652e-14	1.42490400686999e-10	0.907576367659563	1.08783570237383e-16	1.11622107817355e-16	3.36613498686901e-23	2.25703358865771e-21	3.41650244179407e-23	2.29659763199022e-21	0.984317059015971	0.00077	1.91e-07	2.51e-05	0.00197	0.00408	5.26e-05	0.00046	0.887	0.000327	0.00263	0.00015	0.000358	0.000287	0.000636	0.875	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	0.749	2.2	1.45	-2.72	-2.72	2.21	1.47	0.0169	-2.71	-2.7	4.92	4.17	4.92	4.17	-0.00286	-2.5	-1.75	-0.303	-0.286	2.42	2.42
"ASF1A"	"Q9Y294"	0.245715728528591	1.04610225622308e-21	3.88080522542857e-22	4.90015062969786e-23	3.59182564534533e-23	2.57883704194084e-19	7.68348372816635e-20	3.51155564749495e-06	6.31599893190176e-21	4.35452947396185e-21	0.00075803882723586	0.0143139713802937	0.000258545047482833	0.00537509347748954	0.683883240022506	0.854	1.17e-14	5.93e-15	6.16e-10	3.26e-09	1.26e-11	7.51e-15	1.25e-05	1.05e-08	5.35e-07	0.893	0.895	0.895	0.898	0.841	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	-0.146	3.68	3.83	4.15	4.2	2.96	3.11	-0.722	3.43	3.48	-0.47	-0.324	-0.521	-0.374	-0.0508	-0.917	-1.06	2.76	2.04	-1.39	-1.44
"ATAD3A"	"Q9NVI7"	0.277168501093875	1.46703385855382e-17	3.9629742498955e-18	3.64600816330336e-11	2.19002975857913e-11	6.36470513519409e-19	1.97408855810774e-19	0.0106378199088172	1.38617357969727e-08	7.60290843438389e-09	3.30924922898471e-22	1.35959636476413e-22	2.68241746576721e-22	1.10962612558218e-22	0.797889092271691	0.867	5.84e-13	5.93e-15	0.281	0.326	7.54e-11	7.51e-15	0.146	0.442	0.63	0.000713	4.86e-05	0.00101	7.34e-05	0.856	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.146	2.69	2.84	-1.43	-1.46	3.05	3.2	0.363	-1.07	-1.1	4.12	4.27	4.15	4.3	0.0341	-2.31	-2.46	0.378	0.741	1.81	1.84
"ATAD3B"	"Q5T9A4"	0.305084836937809	2.28627982861817e-15	5.24453691944233e-16	1.14906169981698e-05	2.41808088675815e-05	1.17868306187281e-15	2.79454886135415e-16	0.646434871326199	3.90814940360734e-05	8.25058624708681e-05	2.32726348251837e-18	7.31616630401757e-19	3.20790615904485e-18	9.9513387720741e-19	0.779851186385988	0.877	1.09e-08	5.93e-15	0.8	0.837	4.8e-06	4.93e-12	0.853	0.76	0.867	0.0336	0.00782	0.0479	0.0124	0.854	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.146	2.32	2.46	-0.756	-0.717	2.38	2.53	0.065	-0.691	-0.652	3.07	3.22	3.04	3.18	-0.0395	-1.78	-1.92	0.541	0.606	1.3	1.26
"ATG9A"	"Q7Z3C6"	1.49120847188905e-06	1.56319232426658e-08	0.0754007989655655	0.0301366406258104	0.0453430613812441	3.06835531794046e-08	0.129273291579139	0.777689447756864	0.015911850883754	0.0244978105008238	1.01906517550627e-10	0.000317941748494494	1.5105406024346e-10	0.000524187898039508	0.849913153730733	1.53e-05	0.0275	0.766	0.905	0.917	0.173	0.821	0.872	0.871	0.922	0.674	0.867	0.715	0.883	0.862	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	3.56	4.62	1.06	-1.32	-1.21	4.46	0.9	-0.164	-1.48	-1.37	5.94	2.38	5.83	2.27	-0.11	-4.07	-0.51	0.554	0.39	1.87	1.76
"ATL2"	"Q8NHH9"	0.210279925791264	1.32327907505634e-14	1.96555978166298e-15	1.39230543716126e-15	3.68627772749092e-12	1.34804005389522e-13	1.71975520282222e-14	0.157747406766687	1.89743616096675e-16	2.79527359276002e-13	1.41559736048377e-22	5.23241820273764e-23	8.96767239132352e-21	2.81661962811836e-21	4.70412958958677e-05	0.836	1.46e-07	6.16e-14	0.00814	0.23	0.000362	1.18e-08	0.625	0.000471	0.104	0.000406	2.14e-05	0.00653	0.000724	0.00618	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.146	1.75	1.9	-1.93	-1.37	1.59	1.73	-0.166	-2.09	-1.54	3.68	3.83	3.13	3.27	-0.555	-1.67	-1.81	0.0866	-0.0793	2.01	1.46
"ATP1B3"	"P54709"	0.0146832355412333	2.43446106683624e-09	1.31231409387782e-06	1.83650471404571e-11	1.6931249436915e-11	2.00637280280262e-08	1.42713378212205e-05	0.367256257001634	3.23528483094796e-12	2.99555298532344e-12	2.22986108586785e-17	6.69516300775092e-16	2.11843006219082e-17	6.31883696226109e-16	0.966930819246019	0.361	0.0107	0.0274	0.245	0.312	0.152	0.21	0.779	0.0654	0.205	0.0638	0.0862	0.0828	0.109	0.873	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.4	1.35	0.954	-1.71	-1.72	1.21	0.814	-0.14	-1.85	-1.86	3.07	2.67	3.07	2.67	0.0064	-1.52	-1.12	-0.164	-0.304	1.55	1.55
"ATP5L"	"O75964"	0.294439736092297	3.4733105013817e-15	7.54706322348575e-16	4.8118698166459e-13	2.55694767307932e-12	1.00205589934538e-16	2.59538297220468e-17	0.0159914048580748	5.92254325370251e-11	4.14767287741068e-10	1.47034490369999e-21	5.94054789312048e-22	3.34271499751475e-21	1.31372965488322e-21	0.356373405771933	0.873	2.08e-08	5.93e-15	0.093	0.212	2.6e-07	1.44e-14	0.189	0.16	0.485	0.00159	0.000148	0.00413	0.000453	0.766	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.146	2.23	2.37	-1.8	-1.68	2.58	2.73	0.353	-1.45	-1.32	4.03	4.18	3.9	4.05	-0.129	-2.1	-2.25	0.128	0.481	1.93	1.8
