name	ID	CntrStat_vs_Cntr_p.val	Farn_vs_Cntr_p.val	Farn_vs_CntrStat_p.val	Farn_vs_Gera_p.val	Farn_vs_GeraStat_p.val	FarnStat_vs_Cntr_p.val	FarnStat_vs_CntrStat_p.val	FarnStat_vs_Farn_p.val	FarnStat_vs_Gera_p.val	FarnStat_vs_GeraStat_p.val	Gera_vs_Cntr_p.val	Gera_vs_CntrStat_p.val	GeraStat_vs_Cntr_p.val	GeraStat_vs_CntrStat_p.val	GeraStat_vs_Gera_p.val	CntrStat_vs_Cntr_p.adj	Farn_vs_Cntr_p.adj	Farn_vs_CntrStat_p.adj	Farn_vs_Gera_p.adj	Farn_vs_GeraStat_p.adj	FarnStat_vs_Cntr_p.adj	FarnStat_vs_CntrStat_p.adj	FarnStat_vs_Farn_p.adj	FarnStat_vs_Gera_p.adj	FarnStat_vs_GeraStat_p.adj	Gera_vs_Cntr_p.adj	Gera_vs_CntrStat_p.adj	GeraStat_vs_Cntr_p.adj	GeraStat_vs_CntrStat_p.adj	GeraStat_vs_Gera_p.adj	CntrStat_vs_Cntr_significant	Farn_vs_Cntr_significant	Farn_vs_CntrStat_significant	Farn_vs_Gera_significant	Farn_vs_GeraStat_significant	FarnStat_vs_Cntr_significant	FarnStat_vs_CntrStat_significant	FarnStat_vs_Farn_significant	FarnStat_vs_Gera_significant	FarnStat_vs_GeraStat_significant	Gera_vs_Cntr_significant	Gera_vs_CntrStat_significant	GeraStat_vs_Cntr_significant	GeraStat_vs_CntrStat_significant	GeraStat_vs_Gera_significant	significant	CntrStat_vs_Cntr_ratio	Farn_vs_Cntr_ratio	Farn_vs_CntrStat_ratio	Farn_vs_Gera_ratio	Farn_vs_GeraStat_ratio	FarnStat_vs_Cntr_ratio	FarnStat_vs_CntrStat_ratio	FarnStat_vs_Farn_ratio	FarnStat_vs_Gera_ratio	FarnStat_vs_GeraStat_ratio	Gera_vs_Cntr_ratio	Gera_vs_CntrStat_ratio	GeraStat_vs_Cntr_ratio	GeraStat_vs_CntrStat_ratio	GeraStat_vs_Gera_ratio	Cntr_centered	CntrStat_centered	Farn_centered	FarnStat_centered	Gera_centered	GeraStat_centered
ALDH16A1	Q8IZ83	0.596429573792051	2.95116133834009e-08	8.39287404447529e-09	0.0280664353776738	0.0733477492986823	3.66152315498145e-09	1.1098428762341601e-09	0.376893699026872	0.165496883039307	0.342506551668513	1.6592239108300501e-10	5.547268427059529e-11	4.37120415006441e-10	1.41702942738163e-10	0.649357814825939	0.928	0.0371	0.000975	0.905	0.921	0.0864	0.00215	0.783	0.901	0.941	0.688	0.562	0.74	0.635	0.836	False	True	True	False	False	False	True	False	False	False	False	False	False	False	False	True	-0.146	2.12	2.27	-0.635	-0.51	2.37	2.51	0.246	-0.39	-0.264	2.76	2.9	2.63	2.78	-0.126	-1.62	-1.77	0.5	0.746	1.14	1.01
ALDH1B1	P30837	0.681708985939134	1.2958789882784502e-15	7.24623375468588e-16	4.40520175489919e-07	3.06782475858499e-08	3.4253617117158303e-15	1.8777058874560603e-15	0.50561471675203	2.4667966353079e-06	1.57755599239757e-07	1.11271588818116e-10	4.7995800599156096e-11	1.11665190392236e-09	4.54992677116859e-10	0.28698828741257	0.935	4.33e-09	5.93e-15	0.719	0.677	1.44e-05	2.47e-10	0.824	0.676	0.74	0.677	0.556	0.759	0.671	0.737	False	True	True	False	False	True	True	False	False	False	False	False	False	False	False	True	-0.146	5.99	6.13	2.35	2.74	5.75	5.9	-0.238	2.12	2.5	3.63	3.78	3.25	3.4	-0.384	-3.08	-3.23	2.91	2.67	0.554	0.171
ALDH9A1	P49189	0.845399567573219	1.8227290346073702e-19	2.23408906440101e-19	4.00703105283425e-15	2.12075530659019e-16	3.3230132003046897e-18	4.1669629481590594e-18	0.0127112043941114	2.75948600104241e-13	9.44843615704024e-15	1.20858945981252e-08	1.91756621375073e-08	2.1372563584895e-06	3.55855550866862e-06	0.0453821545194866	0.946	1.17e-14	5.93e-15	0.0133	0.00597	1.52e-09	7.51e-15	0.164	0.0247	0.0283	0.781	0.735	0.861	0.838	0.414	False	True	True	True	True	True	True	False	True	True	False	False	False	False	False	True	0.0321	3.96	3.93	2.64	2.98	3.53	3.5	-0.436	2.2	2.54	1.33	1.3	0.985	0.953	-0.342	-1.64	-1.61	2.32	1.89	-0.312	-0.654
ALG3	Q92685	0.46256942645377	1.5480927753152502e-14	5.00989663674859e-15	2.1265113272766603e-09	1.5998664724946e-06	4.91102910496871e-14	1.5200384438661998e-14	0.469643776091134	4.28922890035284e-10	2.49705000410201e-07	2.09468293464311e-19	9.788598194321201e-20	4.23165708947062e-18	1.8129223973445497e-18	0.0106498949256592	0.911	1.81e-07	6.01e-13	0.502	0.788	0.00016	9.69e-09	0.814	0.253	0.754	0.0155	0.00326	0.0515	0.0155	0.227	False	True	True	False	False	True	True	False	False	False	True	True	False	True	False	True	-0.146	3.0	3.15	-1.75	-1.21	2.86	3.0	-0.144	-1.89	-1.35	4.75	4.9	4.21	4.36	-0.54	-2.45	-2.59	0.555	0.411	2.31	1.77
ALG8	Q9BVK2	0.582578805163519	3.54104017763766e-11	1.1954800591287499e-11	9.6274770235464e-08	6.99352891276499e-06	2.02030779978142e-10	6.4405442989877e-11	0.400125737378613	1.24799045992934e-08	7.6874863124993e-07	2.55400201638661e-16	1.22516986954242e-16	2.6857730787388103e-15	1.2102761894779e-15	0.103202778653459	0.926	0.000624	9.14e-07	0.669	0.817	0.0274	0.000236	0.792	0.436	0.783	0.132	0.0495	0.269	0.13	0.569	False	True	True	False	False	True	True	False	False	False	False	True	False	False	False	True	-0.146	2.86	3.0	-1.92	-1.47	2.63	2.78	-0.225	-2.14	-1.7	4.77	4.92	4.33	4.48	-0.444	-2.41	-2.55	0.45	0.225	2.37	1.92
AMFR	Q9UKV5	0.55573443003963	1.0398039619541901e-09	2.8838298703276e-10	4.31457543625919e-09	1.22836776279884e-07	6.842382232933659e-11	2.0892553375391198e-11	0.207345483427244	9.08480282092388e-08	3.23249159290407e-06	3.85164660040167e-16	1.73333172041816e-16	2.8160467384204203e-15	1.1971162493598501e-15	0.168538000715577	0.924	0.00662	4.14e-05	0.538	0.722	0.0168	8.47e-05	0.681	0.538	0.814	0.147	0.0558	0.272	0.13	0.655	False	True	True	False	False	True	True	False	False	False	False	False	False	False	False	True	-0.146	2.27	2.41	-2.11	-1.76	2.58	2.73	0.317	-1.79	-1.44	4.38	4.52	4.03	4.17	-0.347	-2.18	-2.33	0.0816	0.399	2.19	1.84
ANKZF1	Q9H8Y5	0.334746900031455	7.24406025055284e-21	2.99381180940945e-21	2.11381958404765e-07	7.47695425162821e-05	3.11719485754037e-21	1.32327185550467e-21	0.357277850121852	2.27333475886904e-06	0.0008749552722865	2.3978141353826902e-23	1.1715169841424701e-23	1.3528492325492099e-22	6.304394918873391e-23	0.0318360330586021	0.885	1.17e-14	5.93e-15	0.696	0.854	1.77e-14	7.51e-15	0.775	0.673	0.894	0.000122	5.33e-06	0.000664	4.82e-05	0.358	False	True	True	False	False	True	True	False	False	False	True	True	True	True	False	True	-0.146	4.12	4.27	-1.04	-0.699	4.26	4.41	0.14	-0.898	-0.56	5.16	5.3	4.82	4.97	-0.338	-3.04	-3.18	1.09	1.22	2.12	1.78
ARL6IP1	Q15041	0.268133094020141	4.04089093385492e-08	6.59518027517232e-07	5.90071287154808e-14	1.81420273661235e-15	6.48873661011727e-10	8.121952275499661e-09	0.0812923436990161	1.2846442211055199e-12	2.7600282814981e-14	2.06195794751828e-18	7.5888231279872e-18	1.75815365248357e-19	5.772266708354221e-19	0.0303439265211913	0.864	0.0428	0.0188	0.0438	0.0169	0.0445	0.00762	0.476	0.0465	0.0447	0.0325	0.0186	0.0196	0.0101	0.351	False	True	True	True	True	True	True	False	True	True	True	True	True	True	False	True	0.19	1.29	1.1	-2.43	-2.82	1.59	1.4	0.305	-2.12	-2.51	3.72	3.53	4.1	3.91	0.386	-1.81	-1.62	-0.528	-0.223	1.9	2.29
ASF1A	Q9Y294	0.245715728528591	1.04610225622308e-21	3.8808052254285696e-22	4.9001506296978604e-23	3.59182564534533e-23	2.5788370419408403e-19	7.68348372816635e-20	3.51155564749495e-06	6.31599893190176e-21	4.35452947396185e-21	0.0007580388272358	0.0143139713802937	0.0002585450474828	0.0053750934774895	0.683883240022506	0.854	1.17e-14	5.93e-15	6.16e-10	3.26e-09	1.26e-11	7.51e-15	1.25e-05	1.05e-08	5.35e-07	0.893	0.895	0.895	0.898	0.841	False	True	True	True	True	True	True	True	True	True	False	False	False	False	False	True	-0.146	3.68	3.83	4.15	4.2	2.96	3.11	-0.722	3.43	3.48	-0.47	-0.324	-0.521	-0.374	-0.0508	-0.917	-1.06	2.76	2.04	-1.39	-1.44
ATAD3A	Q9NVI7	0.277168501093875	1.4670338585538202e-17	3.9629742498955e-18	3.64600816330336e-11	2.19002975857913e-11	6.36470513519409e-19	1.97408855810774e-19	0.0106378199088172	1.38617357969727e-08	7.60290843438389e-09	3.3092492289847097e-22	1.35959636476413e-22	2.68241746576721e-22	1.10962612558218e-22	0.797889092271691	0.867	5.84e-13	5.93e-15	0.281	0.326	7.54e-11	7.51e-15	0.146	0.442	0.63	0.000713	4.86e-05	0.00101	7.34e-05	0.856	False	True	True	False	False	True	True	False	False	False	True	True	True	True	False	True	-0.146	2.69	2.84	-1.43	-1.46	3.05	3.2	0.363	-1.07	-1.1	4.12	4.27	4.15	4.3	0.0341	-2.31	-2.46	0.378	0.741	1.81	1.84
ATAD3B	Q5T9A4	0.305084836937809	2.2862798286181703e-15	5.24453691944233e-16	1.14906169981698e-05	2.41808088675815e-05	1.1786830618728101e-15	2.79454886135415e-16	0.646434871326199	3.90814940360734e-05	8.25058624708681e-05	2.3272634825183698e-18	7.31616630401757e-19	3.2079061590448497e-18	9.9513387720741e-19	0.779851186385988	0.877	1.09e-08	5.93e-15	0.8	0.837	4.8e-06	4.93e-12	0.853	0.76	0.867	0.0336	0.00782	0.0479	0.0124	0.854	False	True	True	False	False	True	True	False	False	False	True	True	True	True	False	True	-0.146	2.32	2.46	-0.756	-0.717	2.38	2.53	0.065	-0.691	-0.652	3.07	3.22	3.04	3.18	-0.0395	-1.78	-1.92	0.541	0.606	1.3	1.26
ATG9A	Q7Z3C6	1.49120847188905e-06	1.56319232426658e-08	0.0754007989655655	0.0301366406258104	0.0453430613812441	3.06835531794046e-08	0.129273291579139	0.777689447756864	0.015911850883754	0.0244978105008238	1.01906517550627e-10	0.0003179417484944	1.5105406024346001e-10	0.0005241878980395	0.849913153730733	1.53e-05	0.0275	0.766	0.905	0.917	0.173	0.821	0.872	0.871	0.922	0.674	0.867	0.715	0.883	0.862	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	3.56	4.62	1.06	-1.32	-1.21	4.46	0.9	-0.164	-1.48	-1.37	5.94	2.38	5.83	2.27	-0.11	-4.07	-0.51	0.554	0.39	1.87	1.76
ATL2	Q8NHH9	0.210279925791264	1.32327907505634e-14	1.9655597816629803e-15	1.3923054371612601e-15	3.68627772749092e-12	1.34804005389522e-13	1.71975520282222e-14	0.157747406766687	1.89743616096675e-16	2.79527359276002e-13	1.4155973604837698e-22	5.23241820273764e-23	8.96767239132352e-21	2.8166196281183602e-21	4.70412958958677e-05	0.836	1.46e-07	6.16e-14	0.00814	0.23	0.000362	1.18e-08	0.625	0.000471	0.104	0.000406	2.14e-05	0.00653	0.000724	0.00618	False	True	True	True	False	True	True	False	True	False	True	True	True	True	False	True	-0.146	1.75	1.9	-1.93	-1.37	1.59	1.73	-0.166	-2.09	-1.54	3.68	3.83	3.13	3.27	-0.555	-1.67	-1.81	0.0866	-0.0793	2.01	1.46
ATP1B3	P54709	0.0146832355412333	2.43446106683624e-09	1.31231409387782e-06	1.8365047140457098e-11	1.6931249436915e-11	2.00637280280262e-08	1.42713378212205e-05	0.367256257001634	3.23528483094796e-12	2.99555298532344e-12	2.22986108586785e-17	6.69516300775092e-16	2.11843006219082e-17	6.31883696226109e-16	0.966930819246019	0.361	0.0107	0.0274	0.245	0.312	0.152	0.21	0.779	0.0654	0.205	0.0638	0.0862	0.0828	0.109	0.873	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	True	0.4	1.35	0.954	-1.71	-1.72	1.21	0.814	-0.14	-1.85	-1.86	3.07	2.67	3.07	2.67	0.0064	-1.52	-1.12	-0.164	-0.304	1.55	1.55
BAG6	P46379	0.988598366339841	1.03714658503176e-09	1.0049416838405302e-09	1.34200970377537e-11	5.56424763623472e-10	2.13708032867924e-10	2.07356053948267e-10	0.466906239319381	5.7423242652490004e-11	2.81981279481297e-09	1.14849925586577e-17	1.12884193357285e-17	1.12406526115931e-16	1.1032038336522899e-16	0.0787190560410575	0.953	0.00661	0.000147	0.229	0.503	0.0281	0.000621	0.813	0.158	0.585	0.0521	0.0214	0.134	0.0636	0.518	False	True	True	False	False	True	True	False	False	False	False	True	False	False	False	True	-0.00144	0.921	0.922	-1.13	-0.949	0.994	0.996	0.0736	-1.06	-0.876	2.05	2.05	1.87	1.87	-0.182	-0.972	-0.974	-0.052	0.0216	1.08	0.897
BAK1	Q16611	0.0736787582054451	3.13917952907355e-12	1.17844064842974e-10	4.00049551341925e-08	3.76678612697864e-09	4.0785823049011e-13	1.20763702135988e-11	0.261967461191355	6.7793212156792e-07	5.5060100962772e-08	3.1254800041468404e-17	3.49109471949061e-16	9.13286402576406e-18	9.15517640330827e-17	0.319993965637506	0.659	7.93e-05	1.55e-05	0.636	0.594	0.000817	4.99e-05	0.724	0.627	0.707	0.0713	0.0704	0.0634	0.0597	0.752	False	True	True	False	False	True	True	False	False	False	False	False	False	False	False	True	0.361	2.35	1.99	-1.48	-1.68	2.57	2.21	0.222	-1.26	-1.46	3.83	3.47	4.03	3.67	0.197	-2.19	-1.83	0.16	0.382	1.64	1.84
BAX	Q07812	0.149803852570547	4.82716111588195e-15	4.7523813562016603e-14	3.4638040885095603e-14	1.87266418095069e-15	2.1857929327644002e-16	1.6902407690502102e-15	0.0364654419985032	1.4270664128109499e-12	5.33140353103282e-14	4.652234493855809e-22	1.62960124029479e-21	9.86195880034445e-23	3.2143152491940297e-22	0.0638941613805923	0.789	3.41e-08	9.09e-11	0.0353	0.0171	7.05e-07	2.03e-10	0.308	0.0484	0.058	0.000866	0.000292	0.000546	0.000167	0.479	False	True	True	True	True	True	True	False	True	False	True	True	True	True	False	True	0.186	2.01	1.82	-1.85	-2.09	2.28	2.1	0.276	-1.57	-1.81	3.85	3.67	4.1	3.91	0.242	-2.07	-1.89	-0.0636	0.212	1.78	2.03
BCL2	P10415	0.312930714243902	1.8890601350119702e-19	6.673366880238661e-20	3.29031411051907e-12	1.73941236638835e-13	9.42070328444448e-20	3.4149995734004304e-20	0.500217061582074	1.18981324269379e-11	5.58650737460267e-13	6.6557552892908e-24	3.2568683120918003e-24	2.10085635562404e-24	1.05928039457563e-24	0.106072703888336	0.879	1.17e-14	5.93e-15	0.163	0.102	1.42e-12	7.51e-15	0.822	0.101	0.13	4.7e-05	1.6e-06	3.32e-05	9.09e-07	0.574	False	True	True	False	False	True	True	False	False	False	True	True	True	True	False	True	-0.146	3.46	3.6	-1.72	-1.96	3.55	3.7	0.0973	-1.62	-1.86	5.18	5.33	5.42	5.56	0.238	-2.91	-3.06	0.547	0.644	2.27	2.51
BOP1	Q14137	0.482798014669357	1.7431105794642502e-15	6.40715381063326e-16	0.977910416170782	0.797675581664523	2.48329697747553e-14	8.3031141074305e-15	0.0877287132212273	0.0925624160275922	0.14178431342794	1.8142879723150103e-15	6.659585741783801e-16	2.5309729226264604e-15	9.183740176562229e-16	0.819090353056682	0.914	7.08e-09	5.93e-15	0.937	0.94	8.99e-05	3.55e-09	0.494	0.894	0.935	0.209	0.086	0.266	0.121	0.858	False	True	True	False	False	True	True	False	False	False	False	False	False	False	False	True	-0.146	3.45	3.59	0.00575	0.0533	3.08	3.23	-0.365	-0.359	-0.312	3.44	3.59	3.39	3.54	-0.0475	-2.2	-2.35	1.24	0.879	1.24	1.19
BRI3BP	Q8WY22	0.0194499748128762	1.2520940819371602e-09	4.48314327356873e-07	8.74393921065578e-10	1.18218691393856e-10	2.8428815127697704e-09	1.14318455176276e-06	0.71517111489484	3.95135177506083e-10	5.5827283775833394e-11	1.65284700323543e-16	5.3890349668837e-15	4.88827924646794e-17	1.3645656491193401e-15	0.353060132093715	0.412	0.00738	0.0151	0.456	0.42	0.0787	0.084	0.864	0.249	0.369	0.117	0.152	0.106	0.134	0.765	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	True	0.566	2.08	1.51	-2.12	-2.33	2.0	1.43	-0.0839	-2.2	-2.42	4.2	3.63	4.41	3.85	0.215	-2.21	-1.64	-0.129	-0.213	1.99	2.2
BST2	Q10589	0.21992705605109	3.64995334347022e-23	1.4445642883740502e-23	3.84666207670975e-17	5.95655938204236e-17	1.99628878512472e-23	8.063681110334461e-24	0.423420439570091	1.08348981380981e-16	1.7058376431773002e-16	3.0145483965622197e-28	1.65540459104113e-28	3.56587401332788e-28	1.95074790225192e-28	0.731306947416167	0.841	1.17e-14	5.93e-15	0.00114	0.00317	1.77e-14	7.51e-15	0.8	0.000326	0.00342	6.56e-11	2.27e-13	3.91e-10	6.08e-13	0.848	False	True	True	True	True	True	True	False	True	True	True	True	True	True	False	True	-0.146	3.97	4.11	-2.28	-2.24	4.06	4.21	0.0948	-2.19	-2.15	6.25	6.4	6.21	6.36	-0.0404	-3.39	-3.54	0.576	0.671	2.86	2.82
BTAF1	O14981	0.250404113238286	2.21339413730399e-19	6.71816087156903e-20	0.1558277295543	0.423799778570534	4.9362098252001e-20	1.59531743797205e-20	0.148770492937797	0.0066374262771837	0.0296633175507385	1.05211437203183e-18	2.98206351403665e-19	5.20856354813882e-19	1.52322987145237e-19	0.522104748041515	0.856	1.17e-14	5.93e-15	0.92	0.934	3.42e-13	7.51e-15	0.613	0.859	0.924	0.0267	0.00537	0.0284	0.00567	0.812	False	True	True	False	False	True	True	False	False	False	True	True	True	True	False	True	-0.146	3.01	3.15	0.182	0.101	3.19	3.34	0.185	0.367	0.287	2.83	2.97	2.91	3.05	0.0808	-1.96	-2.11	1.04	1.23	0.861	0.942
