ID,name,fullName,substrate,location,moiety,AminoAcid,position,evidenceCode,publication,ProteinEntryReviewed,Exp_moiety,motif,pep
Q13217,DNJC3,DnaJ homolog subfamily C member 3,DNJC3,Endoplasmic reticulum,,,0,,,True,S-farnesyl cysteine,internal,
Q13362,2A5G,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform,phosphatase 2A regulatory subunit B56,"['Nucleus', 'Centromere']",,,0,,,True,S-farnesyl cysteine,internal,
Q13685,AAMP,Angio-associated migratory cell protein,AAMP,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q14137,BOP1,Ribosome biogenesis protein BOP1,WD repeat BOP1/ERB1,"['Nucleolus', 'Nucleoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
Q14318,FKBP8,Peptidyl-prolyl cis-trans isomerase FKBP8,FKBP8,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q14593,ZN273,Zinc finger protein 273,krueppel C2H2-type zinc-finger protein,Nucleus,,,0,,,True,S-farnesyl cysteine,internal,
Q15022,SUZ12,Polycomb protein SUZ12,VEFS (VRN2-EMF2-FIS2-SU(Z)12),Nucleus,,,0,,,True,S-farnesyl cysteine,internal,
Q15027,ACAP1,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1",ACAP1,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q15042,RB3GP,Rab3 GTPase-activating protein catalytic subunit,Rab3-GAP catalytic subunit,"['Endoplasmic reticulum', 'Cytoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
Q15758,AAAT,Neutral amino acid transporter B(0),dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23),Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q15813,TBCE,Tubulin-specific chaperone E,TBCE,"['Cytoskeleton', 'Cytoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
Q16611,BAK,Bcl-2 homologous antagonist/killer,Bcl-2,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q16836,HCDH,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",3-hydroxyacyl-CoA dehydrogenase,Mitochondrion matrix,,,0,,,True,S-farnesyl cysteine,internal,
Q16850,CP51A,Lanosterol 14-alpha demethylase,cytochrome P450,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q2T9J0,TYSD1,Peroxisomal leader peptide-processing protease,peptidase S1B,Peroxisome,,,0,,,True,S-farnesyl cysteine,internal,
Q53HC9,EIPR1,EARP and GARP complex-interacting protein 1,WD repeat EIPR1,trans-Golgi network,,,0,,,True,S-farnesyl cysteine,internal,
Q5VTL8,PR38B,Pre-mRNA-splicing factor 38B,PRP38,Nucleus,,,0,,,True,S-farnesyl cysteine,internal,
Q5VZE5,NAA35,"N-alpha-acetyltransferase 35, NatC auxiliary subunit",MAK10,Cytoplasm,,,0,,,True,S-farnesyl cysteine,internal,
Q5XKP0,MIC13,MICOS complex subunit MIC13,MICOS complex subunit Mic13,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q6IAA8,LTOR1,Ragulator complex protein LAMTOR1,LAMTOR1,Membrane,N-myristoyl glycine,G,-1,ECO_0000269,"['doi:10.1038/ncomms5919', 'doi:10.1002/anie.201500342']",True,S-farnesyl cysteine,internal,
Q6NW34,NEPRO,Nucleolus and neural progenitor protein,nepro,"['Nucleus', 'Nucleolus']",,,0,,,True,S-farnesyl cysteine,internal,
Q7Z2E3,APTX,Aprataxin,APTX,"['Nucleolus', 'Nucleoplasm', 'Cytoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
Q7Z2K6,ERMP1,Endoplasmic reticulum metallopeptidase 1,peptidase M28,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q7Z2Z2,EFL1,Elongation factor-like GTPase 1,Classic translation factor GTPase,,,,0,,,True,S-farnesyl cysteine,internal,
Q7Z3C6,ATG9A,Autophagy-related protein 9A,ATG9,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q7Z4S6,KI21A,Kinesin-like protein KIF21A,Kinesin,"['Axon', 'Dendrite', 'Cytoskeleton']",,,0,,,True,S-farnesyl cysteine,internal,
Q7Z7H5,TMED4,Transmembrane emp24 domain-containing protein 4,EMP24/GP25L,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q86XK2,FBX11,F-box only protein 11,FBX11,"['Nucleus', 'Chromosome']",,,0,,,True,S-farnesyl cysteine,internal,
Q8IUF8,RIOX2,Ribosomal oxygenase 2,ROX,"['Nucleus', 'Nucleolus']",,,0,,,True,S-farnesyl cysteine,internal,
Q8IWA5,CTL2,Choline transporter-like protein 2,CTL (choline transporter-like),Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q8IYT2,CMTR2,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2,CMTR2,"['Nucleus', 'Cytoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
Q8N2K0,ABD12,Lysophosphatidylserine lipase ABHD12,serine esterase,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q8N393,ZN786,Zinc finger protein 786,krueppel C2H2-type zinc-finger protein,Nucleus,,,0,,,True,S-farnesyl cysteine,internal,
Q8N5N7,RM50,Large ribosomal subunit protein mL50,mitochondrion-specific ribosomal protein mL50,Mitochondrion,,,0,,,True,S-farnesyl cysteine,internal,
Q8NB42,ZN527,Zinc finger protein 527,krueppel C2H2-type zinc-finger protein,Nucleus,,,0,,,True,S-farnesyl cysteine,internal,
Q8NBI5,S43A3,Equilibrative nucleobase transporter 1,SLC43A transporter (TC 2.A.1.44),Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q8NCF5,NF2IP,NFATC2-interacting protein,NF2IP,"['Nucleus', 'Cytoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
Q8NE35,CPEB3,Cytoplasmic polyadenylation element-binding protein 3,RRM CPEB,"['Cytoplasm', 'Nucleus', 'Dendrite', 'Synapse', 'Postsynaptic density']",,,0,,,True,S-farnesyl cysteine,internal,
Q8NFH5,NUP35,Nucleoporin NUP35,Nup35,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q8TAF3,WDR48,WD repeat-containing protein 48,WD repeat WDR48,"['Nucleus', 'Late endosome', 'Lysosome', 'Cytoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
Q8TB52,FBX30,F-box only protein 30,FBX30,,,,0,,,True,S-farnesyl cysteine,internal,
Q8TB61,S35B2,Adenosine 3'-phospho 5'-phosphosulfate transporter 1,nucleotide-sugar transporter,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q8TBP6,S2540,Probable mitochondrial glutathione transporter SLC25A40,mitochondrial carrier (TC 2.A.29),Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q8TBQ9,KISHA,Protein kish-A,KISH,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q8TC12,RDH11,Retinol dehydrogenase 11,short-chain dehydrogenases/reductases (SDR),Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q8TDZ2,MICA1,[F-actin]-monooxygenase MICAL1,Mical,"['Midbody', 'Cytoskeleton', 'Cytoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
Q8WY22,BRI3B,BRI3-binding protein,BRI3B,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q969M3,YIPF5,Protein YIPF5,YIP1,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q96A26,F162A,Protein FAM162A,UPF0389,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q96AG4,LRC59,Leucine-rich repeat-containing protein 59,LRC59,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q96C86,DCPS,m7GpppX diphosphatase,HIT,"['Nucleus', 'Cytoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
Q96EU7,C1GLC,C1GALT1-specific chaperone 1,glycosyltransferase 31,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q96FZ5,CKLF7,CKLF-like MARVEL transmembrane domain-containing protein 7,chemokine-like factor,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q96HE7,ERO1A,ERO1-like protein alpha,EROs,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q96HY6,DDRGK,DDRGK domain-containing protein 1,DDRGK1,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q96JJ7,TMX3,Protein disulfide-isomerase TMX3,protein disulfide isomerase,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q96M27,PRRC1,Protein PRRC1,PRRC1,Golgi apparatus,,,0,,,True,S-farnesyl cysteine,internal,
Q96SB4,SRPK1,SRSF protein kinase 1,CMGC Ser/Thr protein kinase,"['Nucleoplasm', 'Cytoplasm', 'Nucleus', 'Nucleus matrix', 'Chromosome', 'Microsome', 'Nucleus speckle']",,,0,,,True,S-farnesyl cysteine,internal,
Q96T51,RUFY1,RUN and FYVE domain-containing protein 1,RUFY1,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q99541,PLIN2,Perilipin-2,perilipin,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q99640,PMYT1,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,Ser/Thr protein kinase,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q99643,C560,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial",cytochrome b560,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9BQB6,VKOR1,Vitamin K epoxide reductase complex subunit 1,VKOR,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9BQE4,SELS,Selenoprotein S,selenoprotein S,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9BQE5,APOL2,Apolipoprotein L2,apolipoprotein L,Cytoplasm,,,0,,,True,S-farnesyl cysteine,internal,
Q9BQP7,MGME1,Mitochondrial genome maintenance exonuclease 1,MGME1,Mitochondrion,,,0,,,True,S-farnesyl cysteine,internal,
Q9BT22,ALG1,Chitobiosyldiphosphodolichol beta-mannosyltransferase,glycosyltransferase group 1,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9BTE3,MCMBP,Mini-chromosome maintenance complex-binding protein,MCMBP,Nucleus,,,0,,,True,S-farnesyl cysteine,internal,
Q9BVC4,LST8,Target of rapamycin complex subunit LST8,WD repeat LST8,Cytoplasm,,,0,,,True,S-farnesyl cysteine,internal,
Q9BVK2,ALG8,"Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase",ALG6/ALG8 glucosyltransferase,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9BXB4,OSB11,Oxysterol-binding protein-related protein 11,OSBP,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9H6H4,REEP4,Receptor expression-enhancing protein 4,DP1,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9H7Z3,NRDE2,Nuclear exosome regulator NRDE2,NRDE2,"['Nucleus', 'Nucleolus', 'Nucleoplasm', 'Nucleus speckle']",,,0,,,True,S-farnesyl cysteine,internal,
Q9H7Z7,PGES2,Prostaglandin E synthase 2,GST superfamily.,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9H900,ZWILC,Protein zwilch homolog,ZWILCH,Kinetochore,,,0,,,True,S-farnesyl cysteine,internal,
Q9H9B4,SFXN1,Sideroflexin-1,sideroflexin,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9HA64,KT3K,Ketosamine-3-kinase,fructosamine kinase,,,,0,,,True,S-farnesyl cysteine,internal,
Q9HC07,TM165,Transmembrane protein 165,GDT1,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9HCE3,ZN532,Zinc finger protein 532,krueppel C2H2-type zinc-finger protein,Nucleus,,,0,,,True,S-farnesyl cysteine,internal,
Q9NRX5,SERC1,Serine incorporator 1,TDE1,Membrane,N-myristoyl glycine,G,-4,ECO_0000269,"['doi:10.1002/pmic.200900783', 'doi:10.1371/journal.pone.0078235']",True,S-farnesyl cysteine,internal,
Q9NRY6,PLS3,Phospholipid scramblase 3,phospholipid scramblase,Membrane,S-palmitoyl cysteine,C,-1,ECO_0000250,,True,S-farnesyl cysteine,internal,
Q9NUJ1,ABHDA,"Palmitoyl-protein thioesterase ABHD10, mitochondrial",AB hydrolase superfamily.,Mitochondrion,,,0,,,True,S-farnesyl cysteine,internal,
Q9NX40,OCAD1,OCIA domain-containing protein 1,OCIAD1,Endosome,,,0,,,True,S-farnesyl cysteine,internal,
Q9P2X0,DPM3,Dolichol-phosphate mannosyltransferase subunit 3,DPM3,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9UBB4,ATX10,Ataxin-10,ataxin-10,Perinuclear region,,,0,,,True,S-farnesyl cysteine,internal,
Q9UBM7,DHCR7,7-dehydrocholesterol reductase,ERG4/ERG24,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9UDW1,QCR9,Cytochrome b-c1 complex subunit 9,UQCR10/QCR9,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9UG22,GIMA2,GTPase IMAP family member 2,AIG1/Toc34/Toc159-like paraseptin GTPase,Lipid droplet,,,0,,,True,S-farnesyl cysteine,internal,
Q9UHN6,CEIP2,Cell surface hyaluronidase,CEMIP,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9UHY1,NRBP,Nuclear receptor-binding protein,Ser/Thr protein kinase,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9UI08,EVL,Ena/VASP-like protein,Ena/VASP,"['Lamellipodium', 'Stress fiber', 'Cytoskeleton']",,,0,,,True,S-farnesyl cysteine,internal,
Q9UI26,IPO11,Importin-11,importin beta,"['Nucleus', 'Cytoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
Q9UJ83,HACL1,2-hydroxyacyl-CoA lyase 1,TPP enzyme,Peroxisome,,,0,,,True,S-farnesyl cysteine,internal,
Q9UJS0,S2513,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial",mitochondrial carrier (TC 2.A.29),Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9UKV5,AMFR,E3 ubiquitin-protein ligase AMFR,AMFR,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9UMX0,UBQL1,Ubiquilin-1,UBQL1,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9UNK0,STX8,Syntaxin-8,syntaxin,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9UNX4,WDR3,WD repeat-containing protein 3,WD repeat WDR3/UTP12,Nucleolus,,,0,,,True,S-farnesyl cysteine,internal,
Q9UPU7,TBD2B,TBC1 domain family member 2B,TBD2B,Early endosome,,,0,,,True,S-farnesyl cysteine,internal,
Q9Y277,VDAC3,Voltage-dependent anion-selective channel protein 3,eukaryotic mitochondrial porin,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9Y2L5,TPPC8,Trafficking protein particle complex subunit 8,TRS85,cis-Golgi network,,,0,,,True,S-farnesyl cysteine,internal,
Q9Y2S7,PDIP2,Polymerase delta-interacting protein 2,PDIP2,"['Mitochondrion matrix', 'Nucleus']",,,0,,,True,S-farnesyl cysteine,internal,
Q9Y2X0,MED16,Mediator of RNA polymerase II transcription subunit 16,Mediator complex subunit 16,Nucleus,,,0,,,True,S-farnesyl cysteine,internal,
Q9Y3P8,SIT1,Signaling threshold-regulating transmembrane adapter 1,SIT1,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9Y4A5,TRRAP,Transformation/transcription domain-associated protein,PI3/PI4-kinase,Nucleus,,,0,,,True,S-farnesyl cysteine,internal,
Q9Y5L0,TNPO3,Transportin-3,TNPO3,"['Nucleus envelope', 'Cytoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
Q9Y5V3,MAGD1,Melanoma-associated antigen D1,MAGD1,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9Y673,ALG5,Dolichyl-phosphate beta-glucosyltransferase,glycosyltransferase 2,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9Y6C9,MTCH2,Mitochondrial carrier homolog 2,mitochondrial carrier (TC 2.A.29),Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9Y6M5,ZNT1,Proton-coupled zinc antiporter SLC30A1,cation diffusion facilitator (CDF) transporter (TC 2.A.4),Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q9Y6N5,SQOR,"Sulfide:quinone oxidoreductase, mitochondrial",SQRD,Mitochondrion,,,0,,,True,S-farnesyl cysteine,internal,
Q9Y6X5,ENPP4,Bis(5'-adenosyl)-triphosphatase ENPP4,nucleotide pyrophosphatase/phosphodiesterase,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
