ID,name,fullName,substrate,location,moiety,AminoAcid,position,evidenceCode,publication,ProteinEntryReviewed,Exp_moiety,motif,pep
O95297,MPZL1,Myelin protein zero-like protein 1,myelin P0 protein,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
O95602,RPA1,DNA-directed RNA polymerase I subunit RPA1,RNA polymerase beta' chain,"['Nucleolus', 'Chromosome']",,,0,,,True,S-geranylgeranyl cysteine,internal,
O95772,STR3N,STARD3 N-terminal-like protein,STARD3,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
O95807,TM50A,Transmembrane protein 50A,UPF0220,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
O95977,S1PR4,Sphingosine 1-phosphate receptor 4,G-protein coupled receptor 1,Membrane,S-palmitoyl cysteine,C,-6,ECO_0000250,,True,S-geranylgeranyl cysteine,internal,
P02786,TFR1,Transferrin receptor protein 1,peptidase M28,Membrane,S-palmitoyl cysteine,C,-6,"['ECO_0000305', 'ECO_0000269']",doi:10.1002/j.1460-2075.1987.tb04758.x,True,S-geranylgeranyl cysteine,internal,
P06127,CD5,T-cell surface glycoprotein CD5,CD5,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
P0CG31,Z286B,Putative zinc finger protein 286B,krueppel C2H2-type zinc-finger protein,Nucleus,,,0,,,True,S-geranylgeranyl cysteine,internal,
P11117,PPAL,Lysosomal acid phosphatase,histidine acid phosphatase,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
P13598,ICAM2,Intercellular adhesion molecule 2,ICAM,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
P17612,KAPCA,cAMP-dependent protein kinase catalytic subunit alpha,AGC Ser/Thr protein kinase,Membrane,N-myristoyl glycine,G,-3,ECO_0000269,"['doi:10.1038/ncomms5919', 'doi:10.1002/anie.201500342']",True,S-geranylgeranyl cysteine,internal,
P19440,GGT1,Glutathione hydrolase 1 proenzyme,gamma-glutamyltransferase,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
P20807,CAN3,Calpain-3,peptidase C2,"['Nucleolus', 'Cytoplasm']",,,0,,,True,S-geranylgeranyl cysteine,internal,
P21283,VATC1,V-type proton ATPase subunit C 1,V-ATPase C subunit,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
P23786,CPT2,"Carnitine O-palmitoyltransferase 2, mitochondrial",carnitine/choline acetyltransferase,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
P27824,CALX,Calnexin,calreticulin,Membrane,S-palmitoyl cysteine,C,-9,ECO_0000269,doi:10.1038/emboj.2012.15,True,S-geranylgeranyl cysteine,internal,
P29803,ODPAT,"Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial",ODPAT,Mitochondrion matrix,,,0,,,True,S-geranylgeranyl cysteine,internal,
P41217,OX2G,OX-2 membrane glycoprotein,OX2G,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
P48960,AGRE5,Adhesion G protein-coupled receptor E5,G-protein coupled receptor 2,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
P49682,CXCR3,C-X-C chemokine receptor type 3,G-protein coupled receptor 1,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
P49768,PSN1,Presenilin-1,peptidase A22A,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
P49795,RGS19,Regulator of G-protein signaling 19,RGS19,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
P51828,ADCY7,Adenylate cyclase type 7,adenylyl cyclase class-4/guanylyl cyclase,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
P53367,ARFP1,Arfaptin-1,ARFP1,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
P53675,CLH2,Clathrin heavy chain 2,clathrin heavy chain,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
P53794,SC5A3,Sodium/myo-inositol cotransporter,sodium:solute symporter (SSF) (TC 2.A.21),Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
P63027,VAMP2,Vesicle-associated membrane protein 2,synaptobrevin,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
P78383,S35B1,Solute carrier family 35 member B1,nucleotide-sugar transporter,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
P98196,AT11A,Phospholipid-transporting ATPase IH,cation transport ATPase (P-type) (TC 3.A.3),Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q06136,KDSR,3-ketodihydrosphingosine reductase,short-chain dehydrogenases/reductases (SDR),Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q07889,SOS1,Son of sevenless homolog 1,SOS1,,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q08722,CD47,Leukocyte surface antigen CD47,CD47,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q12768,WASC5,WASH complex subunit 5,strumpellin,"['Early endosome', 'Cytosol', 'Endoplasmic reticulum']",,,0,,,True,S-geranylgeranyl cysteine,internal,
Q12999,TSN31,Tetraspanin-31,tetraspanin (TM4SF),Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q13009,TIAM1,Rho guanine nucleotide exchange factor TIAM1,TIAM,Membrane,N-myristoyl glycine,G,-1,ECO_0000255,,True,S-geranylgeranyl cysteine,internal,
Q13042,CDC16,Cell division cycle protein 16 homolog,APC6/CDC16,"['Centrosome', 'Spindle']",,,0,,,True,S-geranylgeranyl cysteine,internal,
Q13488,VPP3,V-type proton ATPase 116 kDa subunit a 3,V-ATPase 116 kDa subunit,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q13530,SERC3,Serine incorporator 3,TDE1,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q14344,GNA13,Guanine nucleotide-binding protein subunit alpha-13,G-alpha,Membrane,S-palmitoyl cysteine,C,-3,ECO_0000269,doi:10.1074/jbc.m000415200,True,S-geranylgeranyl cysteine,internal,
Q14558,KPRA,Phosphoribosyl pyrophosphate synthase-associated protein 1,ribose-phosphate pyrophosphokinase,,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q14761,PTCA,Protein tyrosine phosphatase receptor type C-associated protein,PTCA,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q15388,TOM20,Mitochondrial import receptor subunit TOM20 homolog,Tom20,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q15738,NSDHL,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",3-beta-HSD,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q2PZI1,D19L1,Probable C-mannosyltransferase DPY19L1,dpy-19,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q2TAA5,ALG11,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase",glycosyltransferase group 1,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q5BKT4,AG10A,"Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase",ALG10 glucosyltransferase,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q5RI15,COX20,"Cytochrome c oxidase assembly protein COX20, mitochondrial",COX20,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q5SRD1,TI23B,Mitochondrial import inner membrane translocase subunit Tim23B,Tim17/Tim22/Tim23,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q5T2E6,ARMD3,Armadillo-like helical domain-containing protein 3,ARMH3,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q5TA45,INT11,Integrator complex subunit 11,RNA-metabolizing metallo-beta-lactamase-like,"['Nucleus', 'Cytoplasm']",,,0,,,True,S-geranylgeranyl cysteine,internal,
Q5W0Z9,ZDH20,Palmitoyltransferase ZDHHC20,DHHC palmitoyltransferase,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q68DH5,LMBD2,G-protein coupled receptor-associated protein LMBRD2,LIMR,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q6NTF9,RHBD2,Rhomboid domain-containing protein 2,peptidase S54,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q6PI78,TMM65,Transmembrane protein 65,TMM65,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q6PJF5,RHDF2,Inactive rhomboid protein 2,peptidase S54,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q6RW13,ATRAP,Type-1 angiotensin II receptor-associated protein,ATRAP,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q7KZN9,COX15,Cytochrome c oxidase assembly protein COX15 homolog,COX15/CtaA,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q7Z3U7,MON2,Protein MON2 homolog,MON2,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q7Z406,MYH14,Myosin-14,Myosin,,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q7Z5G4,GOGA7,Golgin subfamily A member 7,ERF4,Membrane,S-palmitoyl cysteine,C,-6,ECO_0000269,doi:10.1074/jbc.m310014200,True,S-geranylgeranyl cysteine,internal,
Q86TM6,SYVN1,E3 ubiquitin-protein ligase synoviolin,HRD1,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q86UL3,GPAT4,Glycerol-3-phosphate acyltransferase 4,1-acyl-sn-glycerol-3-phosphate acyltransferase,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q86VR2,RETR3,Reticulophagy regulator 3,RETREG,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q8IWR1,TRI59,Tripartite motif-containing protein 59,TRIM/RBCC,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q8N4V1,EMC5,ER membrane protein complex subunit 5,membrane magnesium transporter (TC 1.A.67),Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q8N697,S15A4,Solute carrier family 15 member 4,Proton-dependent oligopeptide transporter (POT/PTR) (TC 2.A.17),Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q8N6L1,KTAP2,Keratinocyte-associated protein 2,KRTCAP2,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q8NBW4,S38A9,Neutral amino acid transporter 9,amino acid/polyamine transporter 2,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q8NC44,RETR2,Reticulophagy regulator 2,RETREG,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q8TAA9,VANG1,Vang-like protein 1,Vang,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q8WUX1,S38A5,Sodium-coupled neutral amino acid transporter 5,amino acid/polyamine transporter 2,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q8WV22,NSE1,Non-structural maintenance of chromosomes element 1 homolog,NSE1,"['Telomere', 'Nucleus']",,,0,,,True,S-geranylgeranyl cysteine,internal,
Q8WWC4,MAIP1,"m-AAA protease-interacting protein 1, mitochondrial",MAIP1,Mitochondrion matrix,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q92968,PEX13,Peroxisomal membrane protein PEX13,peroxin-13,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q969E2,SCAM4,Secretory carrier-associated membrane protein 4,SCAMP,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q969Z0,FAKD4,FAST kinase domain-containing protein 4,FAST kinase,Mitochondrion matrix,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q96D96,HVCN1,Voltage-gated hydrogen channel 1,hydrogen channel,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q96GC9,VMP1,Vacuole membrane protein 1,VMP1,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q96JC1,VPS39,Vam6/Vps39-like protein,VAM6/VPS39,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q96RQ1,ERGI2,Endoplasmic reticulum-Golgi intermediate compartment protein 2,ERGIC,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q96SK2,TM209,Transmembrane protein 209,TM209,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q96TC7,RMD3,Regulator of microtubule dynamics protein 3,RMDN,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9BQG0,MBB1A,Myb-binding protein 1A,MYBBP1A,"['Nucleus', 'Nucleolus', 'Cytoplasm']",,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9BUB7,TMM70,"Transmembrane protein 70, mitochondrial",TMEM70,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9BVT8,TMUB1,Transmembrane and ubiquitin-like domain-containing protein 1,TMUB1,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9C0B5,ZDHC5,Palmitoyltransferase ZDHHC5,DHHC palmitoyltransferase,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9C0D9,EPT1,Ethanolaminephosphotransferase 1,CDP-alcohol phosphatidyltransferase class-I,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9C0E8,LNP,Endoplasmic reticulum junction formation protein lunapark,lunapark,Membrane,N-myristoyl glycine,G,-4,ECO_0000269,"['doi:10.1002/pmic.200900783', 'doi:10.1371/journal.pone.0078235']",True,S-geranylgeranyl cysteine,internal,
Q9GZM5,YIPF3,Protein YIPF3,YIP1,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9H0U3,MAGT1,Magnesium transporter protein 1,OST3/OST6,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9H490,PIGU,Phosphatidylinositol glycan anchor biosynthesis class U protein,PIGU,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9H6R6,ZDHC6,Palmitoyltransferase ZDHHC6,DHHC palmitoyltransferase,Membrane,S-palmitoyl cysteine,C,"[-8, -7]",ECO_0000269,doi:10.7554/elife.27826,True,S-geranylgeranyl cysteine,internal,
Q9H6U8,ALG9,"Alpha-1,2-mannosyltransferase ALG9",glycosyltransferase 22,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9H9S4,CB39L,Calcium-binding protein 39-like,Mo25,,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9NP58,ABCB6,ATP-binding cassette sub-family B member 6,ABCB,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9NPF2,CHSTB,Carbohydrate sulfotransferase 11,sulfotransferase 2,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9NPR9,GP108,Protein GPR108,LU7TM,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9NRZ7,PLCC,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,1-acyl-sn-glycerol-3-phosphate acyltransferase,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9NTJ5,SAC1,Phosphatidylinositol-3-phosphatase SAC1,SAC1,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9NUN5,LMBD1,Lysosomal cobalamin transport escort protein LMBD1,LIMR,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9NV92,NFIP2,NEDD4 family-interacting protein 2,NFIP2,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9NVA4,T184C,Transmembrane protein 184C,TMEM184,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9NX46,ADPRS,ADP-ribosylhydrolase ARH3,ADP-ribosylglycohydrolase,"['Mitochondrion matrix', 'Cytoplasm', 'Nucleus', 'Chromosome']",,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9NX76,CKLF6,CKLF-like MARVEL transmembrane domain-containing protein 6,chemokine-like factor,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9P2R7,SUCB1,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",succinate/malate CoA ligase beta subunit,Mitochondrion,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9P2W9,STX18,Syntaxin-18,syntaxin,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9UBI1,COMD3,COMM domain-containing protein 3,COMD3,"['Nucleus', 'Cytoplasm']",,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9UHG3,PCYOX,Prenylcysteine oxidase 1,prenylcysteine oxidase,Lysosome,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9UHQ4,BAP29,B-cell receptor-associated protein 29,BCAP29/BCAP31,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9UHW9,S12A6,Solute carrier family 12 member 6,SLC12A transporter,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9UJX4,APC5,Anaphase-promoting complex subunit 5,APC5,"['Nucleus', 'Spindle']",,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9UKR5,ERG28,Ergosterol biosynthetic protein 28 homolog,ERG28,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9ULC5,ACSL5,Long-chain-fatty-acid--CoA ligase 5,ATP-dependent AMP-binding enzyme,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9Y3A6,TMED5,Transmembrane emp24 domain-containing protein 5,EMP24/GP25L,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9Y3B3,TMED7,Transmembrane emp24 domain-containing protein 7,EMP24/GP25L,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9Y3T9,NOC2L,Nucleolar complex protein 2 homolog,NOC2,"['Nucleolus', 'Nucleoplasm']",,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9Y487,VPP2,V-type proton ATPase 116 kDa subunit a 2,V-ATPase 116 kDa subunit,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9Y5M8,SRPRB,Signal recognition particle receptor subunit beta,SRP receptor beta subunit,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9Y679,AUP1,Lipid droplet-regulating VLDL assembly factor AUP1,AUP1,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
Q9Y6A9,SPCS1,Signal peptidase complex subunit 1,SPCS1,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
