primaryAccession;Name;fullName;substrate;location_inside_cell;moiety;AminoAcid;position;evidenceCode;publication;ProteinEntryReviewed
Q8NDI1;EHBP1_HUMAN;EH domain-binding protein 1;;Cytoplasm;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q8NDI1;EHBP1_HUMAN;EH domain-binding protein 1;;Membrane;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q8NDI1;EHBP1_HUMAN;EH domain-binding protein 1;;Membrane;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q8NDI1;EHBP1_HUMAN;EH domain-binding protein 1;;Endosome;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q8NDI1;EHBP1_HUMAN;EH domain-binding protein 1;;Endosome;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
P41567;EIF1_HUMAN;Eukaryotic translation initiation factor 1;Belongs to the SUI1 family.;Cytoplasm;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
P41567;EIF1_HUMAN;Eukaryotic translation initiation factor 1;Belongs to the SUI1 family.;Cytoplasm;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q27J81;INF2_HUMAN;Inverted formin-2;Belongs to the formin homology family.;Perinuclear region;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3P9;RBGP1_HUMAN;Rab GTPase-activating protein 1;;Cytosol;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3P9;RBGP1_HUMAN;Rab GTPase-activating protein 1;;Cytosol;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3P9;RBGP1_HUMAN;Rab GTPase-activating protein 1;;Centrosome;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3P9;RBGP1_HUMAN;Rab GTPase-activating protein 1;;Centrosome;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q27J81;INF2_HUMAN;Inverted formin-2;Belongs to the formin homology family.;Perinuclear region;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q4ADV7;RIC1_HUMAN;Guanine nucleotide exchange factor subunit RIC1;Belongs to the RIC1 family.;Membrane;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q4ADV7;RIC1_HUMAN;Guanine nucleotide exchange factor subunit RIC1;Belongs to the RIC1 family.;Membrane;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q4ADV7;RIC1_HUMAN;Guanine nucleotide exchange factor subunit RIC1;Belongs to the RIC1 family.;Cytosol;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q4ADV7;RIC1_HUMAN;Guanine nucleotide exchange factor subunit RIC1;Belongs to the RIC1 family.;Cytosol;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q8IW50;F219A_HUMAN;Protein FAM219A;Belongs to the FAM219 family.;;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q8IW50;F219A_HUMAN;Protein FAM219A;Belongs to the FAM219 family.;;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q8IUC0;KR131_HUMAN;Keratin-associated protein 13-1;Belongs to the PMG family.;;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q8IUC0;KR131_HUMAN;Keratin-associated protein 13-1;Belongs to the PMG family.;;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q8N5D0;WDTC1_HUMAN;WD and tetratricopeptide repeats protein 1;;;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q8N5D0;WDTC1_HUMAN;WD and tetratricopeptide repeats protein 1;;;;;;;;true^^<http://www.w3.org/2001/XMLSchema#boolean>
